suhu;ph air;musim;kategori;tanaman
25;6,5;kemarau;baik;sawi
22;6;kemarau;baik;bayam
28;7,2;hujan;baik;kangkung
20;5,8;hujan;baik;selada
26;6,8;hujan;baik;sawi
24;7;kemarau;baik;bayam
21;6,2;kemarau;baik;kangkung
27;6,7;kemarau;baik;selada
23;6,4;hujan;baik;sawi
19;5,5;hujan;buruk;bayam
25;6,6;kemarau;baik;kangkung
22;6,1;kemarau;baik;selada
27;6,9;hujan;baik;sawi
21;6,3;hujan;baik;bayam
26;6,5;kemarau;baik;kangkung
24;7,1;kemarau;baik;selada
20;5,7;kemarau;baik;sawi
28;6,8;hujan;baik;bayam
23;6,2;hujan;baik;kangkung
19;5,6;kemarau;buruk;selada
25;6,7;kemarau;baik;sawi
22;6,2;hujan;baik;bayam
27;6,4;hujan;baik;kangkung
21;6,1;kemarau;baik;selada
26;6,6;kemarau;baik;sawi
24;6,9;hujan;baik;bayam
20;5,9;hujan;baik;kangkung
28;6,7;kemarau;baik;selada
23;6,3;kemarau;baik;sawi
19;5,8;hujan;buruk;bayam
25;6,8;hujan;baik;kangkung
22;6,3;kemarau;baik;selada
27;6,5;kemarau;baik;sawi
21;6;hujan;baik;bayam
26;6,4;hujan;baik;kangkung
24;6,8;kemarau;baik;selada
20;5,6;kemarau;buruk;sawi
28;6,6;hujan;baik;bayam
23;6,1;hujan;baik;kangkung
19;5,7;kemarau;buruk;selada
25;6,9;kemarau;baik;sawi
22;6,4;hujan;baik;bayam
27;6,6;hujan;baik;kangkung
21;6,2;kemarau;baik;selada
26;6,7;kemarau;baik;sawi
24;6,5;hujan;baik;bayam
20;6;hujan;baik;kangkung
28;6,8;kemarau;baik;selada
23;6;kemarau;baik;sawi
